Subject,Mean_r,Median_r,Q25_r,Q75_r,Minimum_r,SD_r,N_valid,IQR_r
177,0.99275744,0.9932386,0.9916920065879822,0.9934187531471252,0.99111974,0.0011765271,5,0.992 - 0.993
178,0.994398,0.9943722,0.9942156076431274,0.9947625994682312,0.9937661,0.000398015,5,0.994 - 0.995
179,0.99482214,0.9945135,0.9942864179611206,0.9960240125656128,0.99297094,0.0012235036,5,0.994 - 0.996
180,0.99262714,0.99270546,0.9923412799835205,0.9936650395393372,0.9904829,0.0012238456,5,0.992 - 0.994
181,0.9913227,0.99135816,0.9912316203117371,0.9914923310279846,0.9906141,0.00042286006,5,0.991 - 0.991
182,0.9929546,0.99317104,0.9929594993591309,0.993625819683075,0.99136263,0.00083918974,5,0.993 - 0.994
183,0.99348277,0.99355716,0.9934114217758179,0.9937872886657715,0.9926262,0.00047718003,5,0.993 - 0.994
184,0.9926279,0.99282616,0.9924412965774536,0.993304431438446,0.991108,0.00084069173,5,0.992 - 0.993
185,0.9931989,0.99361676,0.993456244468689,0.994350016117096,0.9890699,0.002187,5,0.993 - 0.994
186,0.98968965,0.98968947,0.9895220994949341,0.9908111095428467,0.9861894,0.0020010045,5,0.99 - 0.991
187,0.9929717,0.99373966,0.9915870428085327,0.9938105344772339,0.9912704,0.0012878228,5,0.992 - 0.994
188,0.99489343,0.9947118,0.9945900440216064,0.9956575632095337,0.9936826,0.00078011537,5,0.995 - 0.996
189,0.98948634,0.9897697,0.989255964756012,0.9899258017539978,0.98825675,0.0006901023,5,0.989 - 0.99
190,0.9932947,0.9932712,0.9931125044822693,0.993380069732666,0.99310523,0.00018599618,5,0.993 - 0.993
191,0.99221456,0.99211127,0.9918332099914551,0.9928491115570068,0.99106705,0.00075775705,5,0.992 - 0.993
192,0.99406165,0.9940814,0.9934479594230652,0.994648277759552,0.9931569,0.0006886403,5,0.993 - 0.995
193,0.9894393,0.9896001,0.9890093207359314,0.9896606206893921,0.98832184,0.00075719703,5,0.989 - 0.99
194,0.9927537,0.9938416,0.9907933473587036,0.9940695762634277,0.99044925,0.0017625178,5,0.991 - 0.994
195,0.99288064,0.9927349,0.9925015568733215,0.9934258460998535,0.9921729,0.00053584354,5,0.993 - 0.993
196,0.99252045,0.9922355,0.9921867847442627,0.9932694435119629,0.9915045,0.0007169239,5,0.992 - 0.993
197,0.99356115,0.99374646,0.9935894012451172,0.993893027305603,0.9926625,0.0004642937,5,0.994 - 0.994
198,0.99356747,0.99401414,0.9939404129981995,0.9941363334655762,0.9909191,0.0013610988,5,0.994 - 0.994
199,0.99206007,0.9921089,0.9914975166320801,0.9922965168952942,0.9910228,0.0007973187,5,0.991 - 0.992
200,0.9925046,0.99276567,0.9914789795875549,0.9938367605209351,0.99042374,0.0013794231,5,0.991 - 0.994
201,0.994153,0.9941866,0.9936040043830872,0.9946731925010681,0.99326205,0.00065601483,5,0.994 - 0.995
202,0.9913763,0.99124265,0.9909668564796448,0.9915692806243896,0.9906774,0.00060187373,5,0.991 - 0.992
203,0.9933039,0.9933726,0.992450475692749,0.9937422275543213,0.9923979,0.00081402657,5,0.992 - 0.994
204,0.9945446,0.99450284,0.9939774870872498,0.9949309825897217,0.99395984,0.0005414716,5,0.994 - 0.995
205,0.9937464,0.9935296,0.9934520125389099,0.9940666556358337,0.99328405,0.00041876678,5,0.993 - 0.994
206,0.99090374,0.9908144,0.9906921982765198,0.9910793900489807,0.98987955,0.00070068496,5,0.991 - 0.991
207,0.9926947,0.9925085,0.9923961162567139,0.9928855299949646,0.992247,0.00042684606,5,0.992 - 0.993
208,0.9921818,0.9923496,0.9916343688964844,0.992405354976654,0.99118,0.0007376925,5,0.992 - 0.992
209,0.9937585,0.99386764,0.9931839108467102,0.9942333698272705,0.9929612,0.00060392707,5,0.993 - 0.994
210,0.9942645,0.9944821,0.993965208530426,0.9952637553215027,0.9922738,0.0011180663,5,0.994 - 0.995
211,0.9937929,0.9940718,0.993522584438324,0.9941447377204895,0.9925092,0.00074499514,5,0.994 - 0.994
212,0.99241984,0.99266076,0.9919630885124207,0.9928157329559326,0.99177957,0.00045711116,5,0.992 - 0.993
213,0.9933842,0.99351233,0.9934172034263611,0.9939692616462708,0.9919527,0.00075868756,5,0.993 - 0.994
214,0.9939416,0.99397576,0.9936273694038391,0.9941251873970032,0.9934943,0.00035485305,5,0.994 - 0.994
215,0.9926921,0.9928618,0.9924048185348511,0.9929269552230835,0.9919109,0.00049349945,5,0.992 - 0.993
216,0.99362165,0.99311805,0.9931016564369202,0.9936978220939636,0.99293697,0.0008559096,5,0.993 - 0.994
217,0.99452704,0.9947668,0.9943204522132874,0.9949268698692322,0.9934741,0.00059218635,5,0.994 - 0.995
218,0.99299526,0.99273485,0.9926515817642212,0.9933938980102539,0.99251795,0.00045585292,5,0.993 - 0.993
219,0.9936941,0.9942219,0.9930297136306763,0.9947819113731384,0.99138707,0.0013463959,5,0.993 - 0.995
220,0.9922837,0.9924925,0.9920309782028198,0.9926444292068481,0.990712,0.00092550967,5,0.992 - 0.993
221,0.9924431,0.99254674,0.9919683933258057,0.9930058717727661,0.9916418,0.0005596779,5,0.992 - 0.993
222,0.9928273,0.99273396,0.9926299452781677,0.9928932189941406,0.99198896,0.00061392365,5,0.993 - 0.993
223,0.9932076,0.9932227,0.9923877716064453,0.9938961863517761,0.9922716,0.00079111126,5,0.992 - 0.994
224,0.9939499,0.99367297,0.9936321973800659,0.994647741317749,0.9929766,0.00068829866,5,0.994 - 0.995
225,0.98014593,0.9807603,0.9802690148353577,0.9854571223258972,0.96873593,0.0061242757,5,0.98 - 0.985
226,0.9890441,0.9896182,0.989281415939331,0.9897171854972839,0.9862454,0.0014421478,5,0.989 - 0.99
227,0.99232113,0.9925729,0.9921002984046936,0.9926436543464661,0.99105626,0.0007275942,5,0.992 - 0.993
228,0.99438465,0.9947316,0.99415123462677,0.9952069520950317,0.99203134,0.0012960435,5,0.994 - 0.995
229,0.99258965,0.9935237,0.9920470714569092,0.9939255118370056,0.98796797,0.0025569496,5,0.992 - 0.994
230,0.9922789,0.9925916,0.9917761087417603,0.9926062226295471,0.9915483,0.00051837426,5,0.992 - 0.993
231,0.9932995,0.99323183,0.9929274916648865,0.994303822517395,0.99141884,0.0011330863,5,0.993 - 0.994
232,0.9914564,0.991602,0.9909863471984863,0.9920167326927185,0.9904852,0.0006387479,5,0.991 - 0.992
233,0.9943312,0.9941884,0.9938012957572937,0.9948645234107971,0.99365115,0.0005863202,5,0.994 - 0.995
234,0.9924016,0.9928059,0.9922006726264954,0.9928321838378906,0.99109834,0.00071215583,5,0.992 - 0.993
235,0.99317724,0.9928539,0.9927847385406494,0.9939825534820557,0.9920303,0.0008173119,5,0.993 - 0.994
236,0.99378175,0.99396986,0.993894636631012,0.9943751096725464,0.99184996,0.0010206003,5,0.994 - 0.994
237,0.9911078,0.9909895,0.9908098578453064,0.9919310808181763,0.9896659,0.00088663975,5,0.991 - 0.992
238,0.9939764,0.9943785,0.9936344027519226,0.9947295188903809,0.9923888,0.0008906653,5,0.994 - 0.995
239,0.99326575,0.9935056,0.9928985834121704,0.9937596321105957,0.9917527,0.00089891144,5,0.993 - 0.994
240,0.9942421,0.99430406,0.9937243461608887,0.9946221113204956,0.9935825,0.000527737,5,0.994 - 0.995
241,0.99638206,0.99653256,0.9964326024055481,0.9966378211975098,0.9955269,0.00044282648,5,0.996 - 0.997
242,0.9929694,0.9928477,0.9918428063392639,0.9938458204269409,0.9917697,0.0010919999,5,0.992 - 0.994
243,0.9929565,0.9927997,0.9926578998565674,0.9931303262710571,0.99222857,0.0005819394,5,0.993 - 0.993
244,0.99278814,0.9928912,0.9921572208404541,0.9928919076919556,0.99191445,0.0007572701,5,0.992 - 0.993
245,0.9937296,0.99382454,0.9935732483863831,0.9938783049583435,0.9932992,0.00026782553,5,0.994 - 0.994
246,0.99347895,0.9935779,0.9930322766304016,0.9937422871589661,0.99192536,0.0010370057,5,0.993 - 0.994
247,0.99279726,0.99305534,0.9925740361213684,0.9931187629699707,0.9920345,0.00043975015,5,0.993 - 0.993
248,0.99270153,0.99229085,0.9920780062675476,0.9930421710014343,0.9918265,0.00088310544,5,0.992 - 0.993
249,0.99255514,0.9924789,0.9922602772712708,0.9933139085769653,0.9908287,0.0010431799,5,0.992 - 0.993
250,0.9917346,0.9914744,0.9914731383323669,0.9920879602432251,0.9908834,0.00063631416,5,0.991 - 0.992
251,0.9938017,0.99389905,0.9933961033821106,0.9939867854118347,0.99326885,0.0004296163,5,0.993 - 0.994
252,0.9920993,0.991918,0.991688072681427,0.9924379587173462,0.9915356,0.0005104226,5,0.992 - 0.992
253,0.9928695,0.99279976,0.99223792552948,0.9934077858924866,0.9920943,0.00065950764,5,0.992 - 0.993
254,0.991181,0.9910027,0.9908624291419983,0.9917811751365662,0.98990655,0.00083534204,5,0.991 - 0.992
255,0.99103296,0.9910616,0.990955114364624,0.9912649989128113,0.99018264,0.00049585104,5,0.991 - 0.991
256,0.9919448,0.99146926,0.9909553527832031,0.9930704832077026,0.9904245,0.0012838226,5,0.991 - 0.993
257,0.9929582,0.9929237,0.9928972721099854,0.9937139749526978,0.99141854,0.00086250424,5,0.993 - 0.994
258,0.9934289,0.99381495,0.9932178258895874,0.9938158988952637,0.9924043,0.0005669517,5,0.993 - 0.994
259,0.9807706,0.98142993,0.9760765433311462,0.9849163293838501,0.97549343,0.004340319,5,0.976 - 0.985
260,0.9918302,0.99185085,0.9916509985923767,0.9920739531517029,0.9910826,0.00046681135,5,0.992 - 0.992
261,0.99030864,0.99053895,0.990449845790863,0.9905797243118286,0.989327,0.00049503293,5,0.99 - 0.991
262,0.9931575,0.99275225,0.9927184581756592,0.993798017501831,0.99223584,0.00075937225,5,0.993 - 0.994
263,0.99035853,0.9909092,0.9885637760162354,0.9918104410171509,0.9873563,0.0021192639,5,0.989 - 0.992
264,0.9942013,0.99434793,0.9941554069519043,0.994518518447876,0.9928023,0.0007802013,5,0.994 - 0.995
265,0.99320185,0.99329454,0.9930815100669861,0.9934439063072205,0.9927406,0.0002666059,5,0.993 - 0.993
266,0.9939768,0.9944601,0.9942904114723206,0.994609534740448,0.9917136,0.00114452,5,0.994 - 0.995
267,0.99536,0.99553263,0.9948068261146545,0.9957922697067261,0.9947029,0.0005140475,5,0.995 - 0.996
268,0.9920616,0.99247986,0.9915902614593506,0.9925523996353149,0.99050885,0.0009265044,5,0.992 - 0.993
269,0.99347174,0.99373776,0.9930322766304016,0.9940378665924072,0.99241513,0.0006544783,5,0.993 - 0.994
270,0.9943501,0.9942758,0.9939292073249817,0.994536817073822,0.99359447,0.00061978865,5,0.994 - 0.995
